species;spec;ring_ID;date;sex;fuel ;infection;RMR;origMassSpec-RMR;MMR30;origMassSpec-MMR;hemo;parasitemia
PhoPho;3;28A9635;21.03.16;1;4;1;0.6222;0.0519;;;179;0.0031
PhoPho;3;28A9639;21.03.16;2;5;1;0.6047;0.0458;5.44;0.3886;170;0.00385
PhoPho;3;28A9678;24.03.16;1;2;1;0.6931;0.0533;4.37;0.3311;183;0.00627
PhoPho;3;28A9992;27.03.16;2;1;1;;;3.23;0.2761;137;0.01961
PhoPho;3;37A0135;28.03.16;2;4;1;;;4;0.3361;182;0.00302
PhoPho;3;37A0318;29.03.16;2;5;1;;;5.07;0.3314;170;0.74231
PhoPho;3;37A0397;30.03.16;2;5;1;0.6703;0.0444;5.3;0.3759;183;0.03546
SaxRub;4;37A1162;21.04.16;1;5;1;0.9826;0.0687;4.6;0.3067;157;0.51863
SaxRub;4;37A1163;21.04.16;2;6;1;0.6586;0.0484;4.12;0.2922;192;0.01007
SaxRub;4;37A1164;21.04.16;1;5;1;0.7251;0.05;4.67;0.3072;174;0.01498
SaxRub;4;37A1165;21.04.16;1;1;1;;;2.45;0.2094;46;0.00229
SaxRub;4;37A1166;21.04.16;1;4;1;0.7657;0.0571;5.91;0.4252;178;0.03005
PhoPho;3;37A1171;21.04.16;1;3;1;0.5986;0.0487;5.06;0.3984;177;0.00129
PhoPho;3;37A1182;21.04.16;1;2;1;;;2.62;0.236;129;0.0118
SaxRub;4;37A1214;21.04.16;1;4;1;;;4.62;0.3474;146;0.06383
SaxRub;4;37A1223;21.04.16;1;4;1;;;5.74;0.4014;200;0.0283
SaxRub;4;37A1224;21.04.16;1;4;1;;;5.92;0.361;169;0.02542
SaxRub;4;37A1237;21.04.16;1;2;1;;;4.05;0.3214;151;0.00617
SaxRub;4;37A1272;22.04.16;1;3;1;0.6045;0.0448;6.23;0.4045;196;0.00608
SaxRub;4;37A1310;22.04.16;1;5;1;;;5.12;0.2994;177;0.24556
SaxRub;4;37A1315;22.04.16;2;1;1;0.688;0.0542;2.58;0.1985;77;0.0203
